Genre,URL
Fantasy,https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury
Fantasy,https://www.goodreads.com/book/show/76703559-throne-of-glass
Fantasy,https://www.goodreads.com/book/show/123675190-the-lightning-thief
Fantasy,https://www.goodreads.com/book/show/35068705-the-poppy-war
Fantasy,https://www.goodreads.com/book/show/36329818-legendary
Fantasy,https://www.goodreads.com/book/show/26032912-the-queen-of-nothing
Fantasy,https://www.goodreads.com/book/show/26032825-the-cruel-prince
Fantasy,https://www.goodreads.com/book/show/8130423-the-battle-of-the-labyrinth
Fantasy,https://www.goodreads.com/book/show/119322.The_Golden_Compass
Fantasy,https://www.goodreads.com/book/show/17331518-fracture-me
Fantasy,https://www.goodreads.com/book/show/13623150-destroy-me
Fantasy,https://www.goodreads.com/book/show/28421168-renegades
Fantasy,https://www.goodreads.com/book/show/29939230-a-conjuring-of-light
Fantasy,https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic
Fantasy,https://www.goodreads.com/book/show/42952728-a-heart-so-fierce-and-broken
Fantasy,https://www.goodreads.com/book/show/36307674-rule-of-wolves
Fantasy,https://www.goodreads.com/book/show/59406549-a-tempest-of-tea
Fantasy,https://www.goodreads.com/book/show/127280062-ruthless-vows
Fantasy,https://www.goodreads.com/book/show/68428.Mistborn
Fantasy,https://www.goodreads.com/book/show/50892338-legendborn
Fantasy,https://www.goodreads.com/book/show/53457092-six-crimson-cranes
Fantasy,https://www.goodreads.com/book/show/61198133-the-stolen-heir
Fantasy,https://www.goodreads.com/book/show/53439886-how-the-king-of-elfhame-learned-to-hate-stories
Fantasy,https://www.goodreads.com/book/show/14061957-ruin-and-rising
Fantasy,https://www.goodreads.com/book/show/52459864-iron-widow
Fantasy,https://www.goodreads.com/book/show/26032887-the-wicked-king
Fantasy,https://www.goodreads.com/book/show/17699855-chain-of-iron
Fantasy,https://www.goodreads.com/book/show/4556058-the-last-olympian
Fantasy,https://www.goodreads.com/book/show/561456.The_Titan_s_Curse
Fantasy,https://www.goodreads.com/book/show/40727118-the-sea-of-monsters
Fantasy,https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
Fantasy,https://www.goodreads.com/book/show/52735921-kingdom-of-the-wicked
Fantasy,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
Fantasy,https://www.goodreads.com/book/show/16101018-the-day-the-crayons-quit
Fantasy,https://www.goodreads.com/book/show/20821299-the-book-with-no-pictures
Fantasy,https://www.goodreads.com/book/show/13337050-dragons-love-tacos
Fantasy,https://www.goodreads.com/book/show/7747422-it-s-a-book
Fantasy,https://www.goodreads.com/book/show/18295821-the-adventures-of-beekle
Fantasy,https://www.goodreads.com/book/show/474858.A_Bad_Case_of_Stripes
Fantasy,https://www.goodreads.com/book/show/766955.Click_Clack_Moo
Fantasy,https://www.goodreads.com/book/show/98573.Harold_and_the_Purple_Crayon
Fantasy,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone
Fantasy,https://www.goodreads.com/book/show/767680.If_You_Give_a_Mouse_a_Cookie
Fantasy,https://www.goodreads.com/book/show/18419.The_Kissing_Hand
Fantasy,https://www.goodreads.com/book/show/8073.Cloudy_with_a_Chance_of_Meatballs
Fantasy,https://www.goodreads.com/book/show/24178.Charlotte_s_Web
Fantasy,https://www.goodreads.com/book/show/23310161-the-day-the-crayons-came-home
Fantasy,https://www.goodreads.com/book/show/370493.The_Giving_Tree
Fantasy,https://www.goodreads.com/book/show/9466024-pete-the-cat
Fantasy,https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
Fantasy,https://www.goodreads.com/book/show/132080146-the-lion-the-witch-and-the-wardrobe
Fantasy,https://www.goodreads.com/book/show/150683.Amos_Boris
Fantasy,https://www.goodreads.com/book/show/96128.Duck_for_President
Fantasy,https://www.goodreads.com/book/show/11556479-duckling-gets-a-cookie-the-pigeon-series
Fantasy,https://www.goodreads.com/book/show/231850.Corduroy
Fantasy,https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz
Fantasy,https://www.goodreads.com/book/show/7699554-the-wonky-donkey
Fantasy,https://www.goodreads.com/book/show/716944.Owl_Babies
Fantasy,https://www.goodreads.com/book/show/13531024-this-is-not-my-hat
Fantasy,https://www.goodreads.com/book/show/12875557-pete-the-cat-and-his-four-groovy-buttons
